SYMBOL	A549_log2FoldChange	A549_padj	A549_baseMean	Calu3_log2FoldChange	Calu3_padj	Calu3_baseMean	HepG2_log2FoldChange	HepG2_padj	HepG2_baseMean
MT2A	2.48232782949295	5.53775087085694e-6	3773.21644652045	2.94688812705575	7.65325082300814e-4	582.054444375093	1.3923241996652	0.0382589885883555	5565.78972813209
EPS8L1	1.23743876547168	1.12237242809312e-5	84.5239455898398	1.13754685910818	0.0295436887776152	704.181100642402	-1.0106817540626	0.00108972473815048	70.8140682141741
KLF4	2.01362273608842	0.00381168823301361	494.876757802752	2.11669491962486	0.00469268963382813	1365.31078797338	-1.6192743958558	0.00100628798369284	6.18630642241566
TNFRSF13C	-1.35226428477938	0.004695866357011	27.3648264114378	-1.27513144186898	0.02917347537724	37.2362315770476	1.01608315753014	8.84398213911858e-4	14.4759399163308
METRNL	1.75283743657077	0.0051209555688378	186.79945324562	1.15621664822884	0.0233611258021306	614.485646843076	-1.73602437495463	4.00388147956443e-6	36.5327504110377
H2AC6	-1.64744356636174	2.89565604750935e-5	980.106898065807	-1.42311221387748	0.00341235178818742	1175.16505978025	-1.96611602798484	0.00582494201151814	617.961627231612
WNK3	-1.89926063780345	0.0205690478131458	6.71888112427347	-2.26172036442174	0.0400814876164811	1.56497149398367	2.51789640883531	0.0115149715940276	135.588994575327
SERTAD1	1.57566532999001	0.00131806183910123	510.266806815461	1.0364176075484	0.0072350727015718	750.962400028142	-1.47018703811903	3.01270322583522e-8	127.487760891518
RNU4-1	-9.52117132119827	1.98672694628642e-8	77.8486000191159	-8.14132601536454	1.27809995539874e-5	238.880208513017	-6.26668615482214	0.00375800737747176	11.2081765412892
SNORA74A	-9.42343539319583	1.42629191286712e-14	72.7895986508107	-8.72922978131792	1.15252665939185e-7	221.000987230511	-3.1442724996556	0.037896630918656	4.20051992134902
RNY1	-8.5917428647966	3.0049058682656e-6	40.872597379095	-5.20875087341202	0.00838466079001752	16.6965456369528	-6.47154240747445	0.00768643117145306	12.9831238843458
RNU4-2	-8.67685687403246	1.17353500158816e-7	116.952765709066	-8.25409698143251	1.85527416657749e-9	403.013356988459	-5.93938395678809	0.00155631262213683	17.8140035195615
C6orf163	-2.25230653652443	5.21251402133388e-4	26.3010125914987	-1.19888959170671	0.00363377611285934	21.7863247818941	1.07002764293368	0.0408922695091825	16.9514188850004
RNU1-1	-11.9967088293297	2.04709785695065e-16	5205.25072063231	-6.22119671340576	1.17912487604424e-5	3462.38819131979	-6.79865519834898	1.84587328608292e-8	222.251798357125
SNORA54	-3.53184188187795	0.013553241477669	1.9786003078604	-8.72524802898901	1.69068577039086e-4	49.7228771464267	-4.1399127065558	0.037896630918656	4.74325267933151
SNORD15B	-4.98825401967229	6.82116664534281e-9	28.6979037885994	-5.52572029634198	0.00042501117872428297	52.2365439764342	-1.93695195926169	0.0476462176480005	7.09791916604064
SNORD17	-4.38456220341485	7.28410599602557e-11	481.28890413026	-8.01626503246447	9.70426301134654e-9	557.323492276551	-2.09301501899551	0.0410161463783834	284.530369404156
CDC14C	-3.60315887118097	9.70173217303223e-5	14.6547139086454	-2.35214048510721	0.0256227251974638	5.63649623726373	1.64987337130459	0.037637450975474	3.0229552622003
MIR663AHG	-9.64972154225312	9.83837383191103e-20	38816.0756957469	-3.97420933647733	4.55623412963501e-5	3631.57510084346	-1.97709046333681	0.0151123476197298	700.103031881468
OR2M3	-2.4656118595457	1.24451086998166e-4	37.206065009304	-1.78203897420875	0.0136395847016176	25.7487681154726	1.10475092565951	0.0415885117997493	11.3300573727842
LINC02613	-3.04754852689723	0.0146572900583124	3.16524395201578	-1.84314000098439	0.0314617668126738	8.80372213364642	1.96967565295785	0.00606880736934909	6.38195236246962
INMT	-1.67858447672317	8.19457942096859e-4	10.9030805812185	-1.22365405462984	0.0416183052263816	9.55025846457714	1.46835321521539	0.00481570576804176	7.00212834335954
GNAO1-DT	-5.01802719800341	2.88498966901935e-6	9.8246956948685	-2.17748296781826	0.0157539452393049	14.9584550410315	1.7194900254349	0.0386244456292903	5.74852902675351
CLDN23	1.25374659850373	0.00319576784000599	185.809342680581	1.0339933642463	0.0090668200172603	1941.58886330505	-1.01670374500212	0.0225761241478689	11.4093626102035
RNVU1-31	-8.51207032086045	2.70469938802953e-7	104.345246380356	-7.07108827016008	2.29983279032354e-6	91.0949048082081	-4.94008285247026	0.008534306072892	4.71808614172311
RNU2-1	-9.29969020795557	1.63191114436498e-22	3372.56144099304	-6.91817478597694	3.14625113678401e-8	1396.32534259906	-4.98214240833616	1.45505568088265e-4	109.811415099634
RPPH1	-12.5231444663868	2.62555006953562e-38	24738.8039378058	-11.797669810378	1.10930751741388e-16	63419.0468235931	-1.20726262057335	9.35671552607197e-4	49.5498704727717
LPAL2	-1.70585975453553	0.00540184585941191	14.4040243245808	-1.97543258864641	0.0461660995199422	9.41702512147656	1.72599055121723	0.0195674158684835	27.0915726926684
